timestamp,fault_d7,4700008966_kW,4700008966_power_hour,4408411600_kW,4408411600_power_hour,4608927500_kvar_hour,238045_ws_temp,279805_ws_vigor,279804_ws_level,279625_ws_temp,279623_ws_vigor,319235_ws_temp,279831_ws_temp,326417_ws_temp,326416_ws_vigor,temp_site1_anomaly_score,sfc_temp_site1_anomaly_score,gw_lvl_site2_anomaly_score,gw_temp_site2_anomaly_score
01-02-2022 18:00,0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,6.7,5.9,9.48,38.44
01-02-2022 19:00,0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,6.3,3.41,9.48,38.44
01-02-2022 20:00,0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,3.12,6.05,9.48,38.44
01-02-2022 21:00,0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,3.82,4.4,9.48,38.44
01-02-2022 22:00,0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,4.57,5.69,9.48,38.44
01-02-2022 23:00,0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,6.61,7.43,9.48,38.44
01-03-2022 0:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,6.45,7.78,19.27,27.79
01-03-2022 1:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,6.96,5.97,19.27,27.79
01-03-2022 2:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,5.38,5.39,19.27,27.79
01-03-2022 3:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,5.45,4.43,19.27,27.79
01-03-2022 4:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,4.63,5.28,19.27,27.79
01-03-2022 5:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,3.23,5.63,19.27,27.79
01-03-2022 6:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,8.04,4.81,19.27,27.79
01-03-2022 7:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,2.59,7.24,19.27,27.79
01-03-2022 8:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,2.93,7.08,19.27,27.79
01-03-2022 9:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,2.76,4.77,19.27,27.79
01-03-2022 10:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,3.28,3.52,19.27,27.79
01-03-2022 11:00,1,0.0,0.0,,,94.546,0.0,0.0,0.0,,,0.0,0.0,,,2.99,4.53,19.27,27.79
01-03-2022 12:00,1,0.0,0.0,,,0.49166888,0.0,0.0,0.0,,,0.0,0.0,,,3.01,4.94,19.27,27.79
